CALENDAR_ID,CALENDAR_NAME,EVENT TITLE,START DATE,END DATE,START TIME,END TIME,DURATION,CONTINUOUS,TRAINER,MULTIPLE TRAINERS,LOCATION,ADDITIONAL INFO TO DISPLAY AS NOTES,,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,28/10/2021,28/10/2021,6:00 PM,10:30 PM,4:30,0,Willey TANG (NP),,"Taught by Willey, 6pm-10.30pm","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,4/11/2021,4/11/2021,6:00 PM,10:30 PM,4:30,0,Willey TANG (NP),,"Taught by Willey, 6pm-10.30pm","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,11/11/2021,11/11/2021,6:00 PM,10:30 PM,4:30,0,Willey TANG (NP),,"Taught by Willey, 6pm-10.30pm","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,18/11/2021,18/11/2021,6:00 PM,10:30 PM,4:30,0,Willey TANG (NP),,"Taught by Willey, 6pm-10.30pm","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,25/11/2021,25/11/2021,6:00 PM,10:30 PM,4:30,0,Willey TANG (NP),,"Taught by Willey, 6pm-10.30pm","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,2/12/2021,2/12/2021,6:00 PM,10:30 PM,4:30,0,Willey TANG (NP),,"Taught by Willey, 6pm-10.30pm","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,9/12/2021,9/12/2021,6:00 PM,10:30 PM,4:30,0,Willey TANG (NP),,"Taught by Willey, 6pm-10.30pm","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,16/12/2021,16/12/2021,6:00 PM,10:30 PM,4:30,0,Willey TANG (NP),,"Taught by Willey, 6pm-10.30pm","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,6/1/2022,6/1/2022,6:00 PM,10:30 PM,4:30,0,Willey TANG (NP),,"Taught by Willey, 6pm-10.30pm","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,13/1/2022,13/1/2022,6:00 PM,10:30 PM,4:30,0,Willey TANG (NP),,"Taught by Willey, 6pm-10.30pm","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,20/1/2022,20/1/2022,6:00 PM,10:30 PM,4:30,0,Willey TANG (NP),,"Taught by Willey, 6pm-10.30pm","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,27/1/2022,27/1/2022,6:00 PM,10:30 PM,4:30,0,Willey TANG (NP),,"Taught by Willey, 6pm-10.30pm","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,3/2/2022,3/2/2022,6:00 PM,10:30 PM,4:30,0,Willey TANG (NP),,"Taught by Willey, 6pm-10.30pm","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,10/2/2022,10/2/2022,6:00 PM,10:30 PM,4:30,0,Willey TANG (NP),,"Taught by Willey, 6pm-10.30pm","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
